IndicatorCode,Location,Period,Dim1ValueCode,Value
WHOSIS_000001,Iraq,2015,MLE,67.32
WHOSIS_000001,Nepal,2015,MLE,67.32
WHOSIS_000001,Ghana,2015,FMLE,67.41
WHOSIS_000001,Mauritania,2015,BTSX,67.41
WHOSIS_000001,Solomon Islands,2015,FMLE,67.41
WHOSIS_000001,Kazakhstan,2015,MLE,67.43
WHOSIS_000001,Yemen,2015,BTSX,67.47
WHOSIS_000001,Honduras,2015,MLE,67.57
WHOSIS_000001,Myanmar,2015,BTSX,67.58
WHOSIS_000001,Mongolia,2015,BTSX,67.61
WHOSIS_000001,Vanuatu,2015,FMLE,67.68
WHOSIS_000001,Mauritania,2015,FMLE,67.69
WHOSIS_000001,Rwanda,2015,BTSX,67.69
WHOSIS_000001,Fiji,2015,BTSX,67.83
WHOSIS_000001,Comoros,2015,FMLE,67.84
WHOSIS_000001,Guatemala,2015,MLE,67.85
WHOSIS_000001,Kyrgyzstan,2015,MLE,67.92
WHOSIS_000001,Azerbaijan,2015,MLE,67.94
WHOSIS_000001,Sudan,2015,BTSX,67.94
WHOSIS_000001,Sao Tome and Principe,2015,MLE,68.05
WHOSIS_000001,Gabon,2015,FMLE,68.09
WHOSIS_000001,India,2015,MLE,68.11
WHOSIS_000001,El Salvador,2015,MLE,68.12
WHOSIS_000001,Uganda,2015,FMLE,68.13
WHOSIS_000001,Egypt,2015,MLE,68.22
WHOSIS_000001,Georgia,2015,MLE,68.24
WHOSIS_000001,Syrian Arab Republic,2015,FMLE,68.37
WHOSIS_000001,Democratic People's Republic of Korea,2015,MLE,68.42
WHOSIS_000001,Belarus,2015,MLE,68.56
WHOSIS_000001,Dominican Republic,2015,MLE,68.62
WHOSIS_000001,Ethiopia,2015,FMLE,68.64
WHOSIS_000001,Tajikistan,2015,BTSX,68.66
WHOSIS_000001,Samoa,2015,MLE,68.68
WHOSIS_000001,Indonesia,2015,MLE,68.77
WHOSIS_000001,Senegal,2015,FMLE,68.77
WHOSIS_000001,Timor-Leste,2015,BTSX,68.87
WHOSIS_000001,Viet Nam,2015,MLE,68.88
WHOSIS_000001,Uzbekistan,2015,MLE,68.98
WHOSIS_000001,Lithuania,2015,MLE,69.09
WHOSIS_000001,Turkmenistan,2015,BTSX,69.11
WHOSIS_000001,Cambodia,2015,BTSX,69.17
WHOSIS_000001,Guyana,2015,FMLE,69.22
WHOSIS_000001,India,2015,BTSX,69.31
WHOSIS_000001,Nepal,2015,BTSX,69.43
WHOSIS_000001,Tonga,2015,MLE,69.45
WHOSIS_000001,Suriname,2015,MLE,69.5
WHOSIS_000001,Lao People's Democratic Republic,2015,FMLE,69.56
WHOSIS_000001,Yemen,2015,FMLE,69.58
WHOSIS_000001,Sao Tome and Principe,2015,BTSX,69.6
WHOSIS_000001,Sudan,2015,FMLE,69.71
WHOSIS_000001,Bahamas,2015,MLE,69.73
